ID,Server ID,Timestamp,CPU Usage,CPU Temp,Memory Usage,Disk Usage,Network Sent,Network Received,GPU Usage
1308,default_server,2025-02-15 00:41:02,13.1,,70.8,9.6,2405832704,4310934528,
1305,default_server,2025-02-15 00:40:59,28.4,,70.7,9.6,2405819392,4310902784,
1306,default_server,2025-02-15 00:40:59,26.6,,70.8,9.6,2405829632,4310915072,
1303,default_server,2025-02-15 00:40:56,9.8,,70.5,9.6,2405817344,4310899712,
1304,default_server,2025-02-15 00:40:56,10.3,,70.6,9.6,2405817344,4310900736,
1301,default_server,2025-02-15 00:40:53,9.3,,70.5,9.6,2405813248,4310893568,
1302,default_server,2025-02-15 00:40:53,10.5,,70.5,9.6,2405814272,4310895616,
1299,default_server,2025-02-15 00:40:50,7.1,,70.4,9.6,2405780480,4310887424,
1300,default_server,2025-02-15 00:40:50,8.1,,70.4,9.6,2405780480,4310887424,
1297,default_server,2025-02-15 00:40:47,10.3,,70.3,9.6,2405780480,4310886400,
1298,default_server,2025-02-15 00:40:47,9.1,,70.4,9.6,2405780480,4310886400,
1295,default_server,2025-02-15 00:40:44,7.2,,70.7,9.6,2405779456,4310886400,
1296,default_server,2025-02-15 00:40:44,7.7,,70.7,9.6,2405779456,4310886400,
1293,default_server,2025-02-15 00:40:41,15.0,,71.0,9.6,2405779456,4310886400,
